Frequency (Hz),Absolute Amplitude (a.u.)
2460.9375,1.939046259
2484.375,2.056081664
2507.8125,3.462218687
2531.25,2.389605171
2554.6875,1.166726301
2578.125,2.000524718
2601.5625,2.177327685
2625,6.185956982
2648.4375,4.359254455
2671.875,2.237611959
2695.3125,2.769415511
2718.75,5.701484895
2742.1875,1.299178559
2765.625,2.645323028
2789.0625,1.59539326
2812.5,0.6517301756
2835.9375,1.879473902
2859.375,1.319184183
2882.8125,2.948797195
2906.25,1.690167211
2929.6875,1.74301631
2953.125,3.599523139
2976.5625,4.96933795
3000,3.729737759
3023.4375,4.098736831
3046.875,0.4599611133
3070.3125,3.654574636
3093.75,4.335293324
3117.1875,4.183052925
3140.625,4.974739027
3164.0625,2.30046492
3187.5,1.491791402
3210.9375,4.583510823
3234.375,0.6001778773
3257.8125,3.879662904
3281.25,3.500583546
3304.6875,3.812145803
3328.125,6.146768913
3351.5625,1.572351406
3375,1.759328415
3398.4375,1.587114388
3421.875,1.824509368
3445.3125,3.300971215
3468.75,1.183370781
3492.1875,2.286986105
3515.625,1.346200456
3539.0625,3.030448632
3562.5,1.372201331
3585.9375,0.4613449187
3609.375,1.086890601
3632.8125,2.793309611
3656.25,0.2516583229
3679.6875,1.543253563
3703.125,0.4762433795
3726.5625,0.6987911299
3750,1.218784349
3773.4375,0.09120877301
3796.875,0.5872463634
3820.3125,2.322911105
3843.75,1.925713779
3867.1875,1.10808576
3890.625,1.116073778
3914.0625,1.222269116
3937.5,1.083899402
3960.9375,0.5661118932
3984.375,1.540438369
4007.8125,2.019939233
4031.25,2.13677447
4054.6875,1.625388361
4078.125,1.32600857
4101.5625,0.3710424179
4125,0.8285663764
4148.4375,0.9537174618
4171.875,0.2816593887
4195.3125,1.007474088
4218.75,1.101489755
4242.1875,0.3394996234
4265.625,0.4275663875
4289.0625,0.8580315495
4312.5,0.1700573183
4335.9375,1.55363401
4359.375,1.417543804
4382.8125,0.6172062313
4406.25,0.899075937
4429.6875,1.028744483
4453.125,0.7150410088
4476.5625,1.089341569
4500,0.8093406914
4523.4375,0.2012289878
4546.875,0.2119142134
4570.3125,1.500619447
4593.75,0.3883537717
4617.1875,0.6057073726
4640.625,0.9927495608
4664.0625,1.494275972
4687.5,0.1551974961
4710.9375,0.9869508598
4734.375,1.006868566
4757.8125,0.6627407275
4781.25,0.7466154927
4804.6875,1.630299168
4828.125,1.503212376
4851.5625,1.035671623
4875,0.5628976443
4898.4375,1.082551991
4921.875,0.3724012592
4945.3125,0.7954588316
4968.75,0.3857739419
4992.1875,1.426352389
5015.625,2.273645848
5039.0625,0.6386661017
5062.5,1.986630644
5085.9375,0.6701075621
5109.375,1.653938365
5132.8125,1.468476286
5156.25,0.4000044244
5179.6875,1.360429555
5203.125,0.3815010903
5226.5625,0.1402261948
5250,0.5842472123
5273.4375,0.8674561798
5296.875,0.1488553703
5320.3125,0.9907510244
5343.75,1.956179512
5367.1875,1.336931394
5390.625,0.8476983498
5414.0625,0.6138900276
5437.5,0.1995286289
5460.9375,0.7133207406
5484.375,0.3542879632
5507.8125,0.6054119723
5531.25,0.8824329309
5554.6875,0.9513688689
5578.125,0.4190561374
5601.5625,0.5147643171
5625,0.7114834108
5648.4375,0.5689533014
5671.875,0.6651586063
5695.3125,0.871720528
5718.75,0.3202757343
5742.1875,0.2450156757
5765.625,0.7587846377
5789.0625,0.7884408206
5812.5,0.8134462709
5835.9375,1.775973452
5859.375,0.4735881013
5882.8125,0.9535731449
5906.25,0.09282943418
5929.6875,0.90376225
5953.125,1.117054913
5976.5625,1.338080606
6000,1.219102388
6023.4375,1.391283335
6046.875,0.312429537
6070.3125,0.1065537586
6093.75,0.9642941375
6117.1875,0.6438366127
6140.625,1.002859737
6164.0625,0.2804581425
6187.5,1.297545745
6210.9375,0.7525129833
6234.375,1.117139985
6257.8125,0.7879361779
6281.25,0.5277379742
6304.6875,1.209740589
6328.125,0.891846975
6351.5625,0.7678758004
6375,0.3829885874
6398.4375,0.7825225076
6421.875,0.8775445863
6445.3125,0.9590254218
6468.75,0.7675970994
6492.1875,0.3464221369
6515.625,0.6181077771
6539.0625,1.049713761
6562.5,0.8656831614
6585.9375,1.216907538
6609.375,0.4461108982
6632.8125,0.7000307938
6656.25,0.9170622553
6679.6875,0.4241807595
6703.125,0.848441736
6726.5625,0.399409913
6750,1.019407045
6773.4375,0.8628994169
6796.875,0.3851989439
6820.3125,0.3073477654
6843.75,0.7489450842
6867.1875,0.5989638147
6890.625,1.562036875
6914.0625,0.6543792523
6937.5,0.09707013618
6960.9375,1.967396242
6984.375,0.2757259925
7007.8125,0.5918315043
7031.25,1.170190863
7054.6875,0.3160985276
7078.125,0.6734087331
7101.5625,1.123356203
7125,0.7015434051
7148.4375,0.4024918836
7171.875,0.6438524161
7195.3125,1.005822631
7218.75,0.1454657886
7242.1875,0.4546774672
7265.625,0.8330266944
7289.0625,0.4218367733
7312.5,1.194790888
7335.9375,0.1882547038
7359.375,1.027850668
7382.8125,0.828221929
7406.25,0.2713142988
7429.6875,0.2341065714
7453.125,0.5869080118
7476.5625,0.5966755994
7500,0.901434391
7523.4375,0.4671724315
7546.875,0.8194593194
7570.3125,0.637368989
7593.75,0.3174117881
7617.1875,0.4817367511
7640.625,0.3594614034
7664.0625,1.262617438
7687.5,1.042311889
7710.9375,0.3417592626
7734.375,0.2425631348
7757.8125,0.7365430754
7781.25,1.975685717
7804.6875,0.1564195756
7828.125,0.6243022818
7851.5625,0.8386951671
7875,0.3936900375
7898.4375,0.4590946727
7921.875,0.9787416401
7945.3125,1.006093612
7968.75,0.7243051399
7992.1875,0.6884773498
8015.625,1.127956941
8039.0625,1.134784223
8062.5,0.7736612486
8085.9375,0.4950858564
8109.375,1.099455342
8132.8125,0.7352825115
8156.25,0.5861488664
8179.6875,0.240816483
8203.125,0.4793638731
8226.5625,1.131176067
8250,0.8521187593
8273.4375,1.688223878
8296.875,0.6130429665
8320.3125,0.3477080144
8343.75,1.120450588
8367.1875,0.4867747466
8390.625,1.539802253
8414.0625,0.477815013
8437.5,0.7639506733
8460.9375,0.2436283824
8484.375,1.687864711
8507.8125,0.6758036906
8531.25,0.2842796413
8554.6875,0.4700599879
8578.125,0.3475221554
8601.5625,0.3063096082
8625,0.6121830691
8648.4375,1.270700793
8671.875,0.4926309273
8695.3125,0.1711989797
8718.75,0.5700312365
8742.1875,0.988161239
8765.625,0.661477782
8789.0625,0.3095894752
8812.5,0.8228444256
8835.9375,0.3575543244
8859.375,0.5132549866
8882.8125,0.7553474306
8906.25,0.4907168635
8929.6875,1.330584577
8953.125,0.6747892426
8976.5625,0.5032212316
9000,0.6087731811
9023.4375,0.5448273934
9046.875,0.05115964859
9070.3125,0.8360796852
9093.75,0.2846639738
9117.1875,0.06219600422
9140.625,0.5847314182
9164.0625,0.5088801077
9187.5,0.2967658079
9210.9375,0.7526038783
9234.375,0.277622305
9257.8125,0.03354815845
9281.25,0.278020235
9304.6875,0.4697291978
9328.125,0.4880556743
9351.5625,0.5193582361
9375,0.439085422
9398.4375,0.5377413764
9421.875,0.1239627793
9445.3125,0.327050191
9468.75,0.2605554208
9492.1875,0.552474811
9515.625,0.5567200209
9539.0625,0.2727796478
9562.5,0.09073443826
9585.9375,0.5479732265
9609.375,0.2202581574
9632.8125,0.4608314414
9656.25,0.3389214624
9679.6875,0.6585945864
9703.125,0.1213006155
9726.5625,0.2996889473
9750,0.471310393
9773.4375,0.3596023006
9796.875,0.2358579978
9820.3125,0.439559591
9843.75,0.2266465314
9867.1875,0.1322739819
9890.625,0.1896532422
9914.0625,0.2455179424
9937.5,0.1406074324
9960.9375,0.3494052475
9984.375,0.3592567654
10007.8125,0.5318385492
10031.25,0.1686767444
10054.6875,0.3355191795
10078.125,0.075596292
10101.5625,0.1563780804
10125,0.149416019
10148.4375,0.05429784414
10171.875,0.7037676143
10195.3125,0.2767508658
10218.75,0.4634196615
10242.1875,0.5185001331
10265.625,0.8574344914
10289.0625,0.5171052498
10312.5,0.3926935115
10335.9375,1.294659671
10359.375,0.1976497169
10382.8125,0.6051359232
10406.25,0.4681202772
10429.6875,0.3935583804
10453.125,0.4540492331
10476.5625,0.4615597593
10500,0.883633959
10523.4375,0.7894380891
10546.875,0.6171200287
10570.3125,0.3627693187
10593.75,0.7607723761
10617.1875,0.6561456093
10640.625,0.2123419709
10664.0625,0.07360563291
10687.5,0.313296005
10710.9375,0.7530199086
10734.375,0.5041952371
10757.8125,0.9871355114
10781.25,0.4160435842
10804.6875,0.3040439976
10828.125,0.3554654163
10851.5625,0.3591408459
10875,0.009228685461
10898.4375,0.1232022352
10921.875,0.5275728623
10945.3125,0.6327477888
10968.75,1.878370789
10992.1875,0.4166115184
11015.625,1.106066904
11039.0625,0.4123862641
11062.5,0.6994130407
11085.9375,0.2439441206
11109.375,1.259314618
11132.8125,1.483699913
11156.25,0.5431274422
11179.6875,1.045191125
11203.125,1.137991174
11226.5625,0.2326119926
11250,0.2903057799
11273.4375,1.028091789
11296.875,0.4598304633
11320.3125,0.2867837239
11343.75,0.4291397339
11367.1875,0.2510820006
11390.625,1.110638093
11414.0625,0.5440212652
11437.5,1.063574823
11460.9375,1.061904631
11484.375,0.7012213358
11507.8125,0.901429414
11531.25,1.663311394
11554.6875,1.188960276
11578.125,0.1325953191
11601.5625,0.6261929068
11625,0.9076918069
11648.4375,1.490682555
11671.875,0.6838370627
11695.3125,0.7316891352
11718.75,0.1880781537
11742.1875,1.073751398
11765.625,0.6530357645
11789.0625,0.8602910751
11812.5,1.231456138
11835.9375,0.2668517554
11859.375,0.8137591002
11882.8125,0.990046364
11906.25,0.3857578112
11929.6875,1.216383137
11953.125,1.01635398
11976.5625,1.02849129
12000,0.517657135
12023.4375,0.6628597942
12046.875,1.81125073
12070.3125,0.8476247059
12093.75,0.5172417755
12117.1875,0.5236815229
12140.625,0.9281709066
12164.0625,0.8742710071
12187.5,0.2302797585
12210.9375,1.187813169
12234.375,0.61478668
12257.8125,1.282635755
12281.25,1.994783304
12304.6875,2.019361511
12328.125,1.159433559
12351.5625,1.377263434
12375,2.061019106
12398.4375,1.32339471
12421.875,0.2602869524
12445.3125,1.107961677
12468.75,2.099768987
12492.1875,1.400667846
12515.625,1.503267627
12539.0625,2.153199068
12562.5,2.227343903
12585.9375,2.290578292
12609.375,0.9204781256
12632.8125,2.07138296
12656.25,0.9374397968
12679.6875,1.428954183
12703.125,0.7401126095
12726.5625,0.547683387
12750,0.4782066735
12773.4375,1.024874282
12796.875,2.375384189
12820.3125,1.966347154
12843.75,1.282992999
12867.1875,0.98748317
12890.625,0.5213360613
12914.0625,1.069178203
12937.5,0.7351917607
12960.9375,2.040409504
12984.375,0.985351481
13007.8125,1.05465671
13031.25,1.461054338
13054.6875,0.2078776116
13078.125,0.4192779337
13101.5625,1.336361137
13125,0.6049060806
13148.4375,0.5561537045
13171.875,2.116164234
13195.3125,0.7046887071
13218.75,0.9646305685
13242.1875,0.3679186155
13265.625,0.6544404461
13289.0625,0.9246502541
13312.5,1.660695009
13335.9375,1.381426777
13359.375,0.9299109054
13382.8125,1.296187307
13406.25,0.8361747695
13429.6875,0.9972107358
13453.125,1.088683234
13476.5625,1.145318578
13500,0.2236199884
13523.4375,0.8051072152
13546.875,1.048335573
13570.3125,0.4086013318
13593.75,0.8869940885
13617.1875,0.7131850129
13640.625,1.222774616
13664.0625,0.8524884236
13687.5,0.3679820037
13710.9375,0.7524016021
13734.375,0.153565482
13757.8125,0.5174908179
13781.25,0.7379400101
13804.6875,0.633782701
13828.125,0.4438159171
13851.5625,1.221001012
13875,0.436666465
13898.4375,0.4583670656
13921.875,0.8444283116
13945.3125,0.5644514587
13968.75,0.8975833349
13992.1875,1.281526601
14015.625,0.2339256924
14039.0625,0.6619350292
14062.5,0.4879105239
14085.9375,0.4074072329
14109.375,0.3293626559
14132.8125,0.2187407171
14156.25,0.825929207
14179.6875,0.8835106975
14203.125,0.9483933882
14226.5625,1.216382266
14250,0.809858938
14273.4375,1.254121445
14296.875,1.783444352
14320.3125,0.2053066309
14343.75,1.112107042
14367.1875,1.513239404
14390.625,1.660276759
14414.0625,0.2646381338
14437.5,1.098219204
14460.9375,0.7004983349
14484.375,0.8860781866
14507.8125,1.069494358
14531.25,1.086181287
14554.6875,0.8766189644
14578.125,0.9387369623
14601.5625,1.385451204
14625,0.5718369814
14648.4375,0.6017959734
14671.875,0.3811207376
14695.3125,0.2579092896
14718.75,0.6381066609
14742.1875,1.180156543
14765.625,1.640935663
14789.0625,0.5193931359
14812.5,0.9634097212
14835.9375,1.141183946
14859.375,0.1348080687
14882.8125,1.038965428
14906.25,1.509049861
14929.6875,0.3146898734
14953.125,1.05975331
14976.5625,0.2452414938
15000,0.369057777
15023.4375,1.867801476
15046.875,0.5980093709
15070.3125,1.321175017
15093.75,2.506104613
15117.1875,0.613560482
15140.625,2.105565161
15164.0625,1.562891312
15187.5,1.282012232
15210.9375,0.3882601627
15234.375,1.030128134
15257.8125,0.9985306226
15281.25,0.2120231648
15304.6875,1.047876021
15328.125,1.706850768
15351.5625,1.405110584
15375,2.101601572
15398.4375,0.6798492556
15421.875,1.3803391
15445.3125,0.993302841
15468.75,1.005191375
15492.1875,2.409323876
15515.625,0.7942109977
15539.0625,1.737005526
15562.5,0.8709106965
15585.9375,0.08913987307
15609.375,3.018462302
15632.8125,0.3451494229
15656.25,1.646521194
15679.6875,1.338049937
15703.125,3.048796836
15726.5625,1.581029169
15750,3.334923725
15773.4375,2.785275074
15796.875,1.032640827
15820.3125,2.009867481
15843.75,3.742501959
15867.1875,2.089737571
15890.625,3.077356787
15914.0625,3.329124945
15937.5,5.713951787
15960.9375,3.556457433
15984.375,1.299694778
16007.8125,4.365219144
16031.25,1.602119011
16054.6875,1.157181102
16078.125,2.897682443
16101.5625,1.475538862
16125,2.297231312
16148.4375,3.044116743
16171.875,2.238555165
16195.3125,2.634937159
16218.75,2.375315823
16242.1875,2.286283323
16265.625,1.972969016
16289.0625,1.025489051
16312.5,1.450790504
16335.9375,3.025104897
16359.375,3.321187069
16382.8125,1.384970538
16406.25,2.720944916
16429.6875,4.683139303
16453.125,2.84376517
16476.5625,3.139297319
16500,2.684428912
16523.4375,3.068822983
16546.875,2.511750722
16570.3125,2.124791062
16593.75,0.2374564126
16617.1875,3.073596125
16640.625,1.492234821
16664.0625,3.386330243
16687.5,1.657518608
16710.9375,1.906051418
16734.375,2.089770994
16757.8125,2.482826696
16781.25,3.938440464
16804.6875,1.305604007
16828.125,0.7820442951
16851.5625,2.278475481
16875,3.640281808
16898.4375,2.343247193
16921.875,1.170966946
16945.3125,1.376596709
16968.75,1.86510271
16992.1875,1.563419599
17015.625,2.048241271
17039.0625,2.142766317
17062.5,2.979136979
17085.9375,1.057818544
17109.375,0.3799025941
17132.8125,1.21041806
17156.25,1.982963314
17179.6875,0.8389527259
17203.125,1.572798864
17226.5625,3.008723975
17250,2.345530522
17273.4375,1.917579884
17296.875,1.304128977
17320.3125,1.799367996
17343.75,1.609401438
17367.1875,1.134880505
17390.625,1.391454546
17414.0625,0.8462777402
17437.5,1.44264844
17460.9375,1.280048937
17484.375,1.208656803
17507.8125,0.6470564442
17531.25,0.9211802364
17554.6875,0.8075242474
17578.125,0.6583836351
17601.5625,2.088100069
17625,2.021682893
17648.4375,2.24440541
17671.875,1.217423145
17695.3125,2.126181789
17718.75,1.813087347
17742.1875,0.6466699463
17765.625,1.046334417
17789.0625,0.5532934994
17812.5,0.3002283389
17835.9375,1.242492098
17859.375,3.048361299
17882.8125,2.549455341
17906.25,2.488742028
17929.6875,0.9665403885
17953.125,2.157436733
17976.5625,3.494403621
18000,4.11987231
18023.4375,2.201569897
18046.875,1.483724691
18070.3125,1.959579162
18093.75,1.890583883
18117.1875,2.673983058
18140.625,0.8951067067
18164.0625,3.119299805
18187.5,1.101962873
