Frequency (Hz),Absolute Amplitude (a.u.),Frequency (Hz),Absolute Amplitude (a.u.),Frequency (Hz),Absolute Amplitude (a.u.),Frequency (Hz),Absolute Amplitude (a.u.),Frequency (Hz),Absolute Amplitude (a.u.),Frequency (Hz),Absolute Amplitude (a.u.)
1078.125,0.01433438414,1078.125,0.02839282257,1078.125,0.1090982591,1078.125,2.589944618,1078.125,0.1978904247,1078.125,0.5762480077
1101.5625,0.04210803341,1101.5625,0.04589552982,1101.5625,0.0621097237,1101.5625,0.6630438997,1101.5625,0.2471373702,1101.5625,0.234651898
1125,0.02733232956,1125,0.01086268582,1125,0.03445534569,1125,2.545748385,1125,0.1952245665,1125,0.04959435419
1148.4375,0.02922952132,1148.4375,0.04249159486,1148.4375,0.05445182028,1148.4375,2.399252772,1148.4375,0.4926473817,1148.4375,0.5963511793
1171.875,0.03712111927,1171.875,0.03020821579,1171.875,0.05832286526,1171.875,0.6080838075,1171.875,0.334742929,1171.875,1.14874444
1195.3125,0.04503650845,1195.3125,0.01808539251,1195.3125,0.06352186045,1195.3125,0.4164223449,1195.3125,0.1161045675,1195.3125,0.9755370889
1218.75,0.02906574549,1218.75,0.01425396567,1218.75,0.05253905798,1218.75,0.7117732615,1218.75,0.5839572862,1218.75,1.160503584
1242.1875,0.02005546297,1242.1875,0.02330001417,1242.1875,0.03183515767,1242.1875,0.9386479663,1242.1875,0.473256358,1242.1875,1.305142227
1265.625,0.01682503382,1265.625,0.04733539756,1265.625,0.04697521781,1265.625,1.211773432,1265.625,1.278483766,1265.625,1.022301665
1289.0625,0.01825475401,1289.0625,0.03336276792,1289.0625,0.0469060778,1289.0625,0.910982293,1289.0625,0.8677637227,1289.0625,1.141485453
1312.5,0.01751917557,1312.5,0.05997446764,1312.5,0.03852746683,1312.5,0.8195715919,1312.5,1.131785074,1312.5,0.2990429289
1335.9375,0.02203340262,1335.9375,0.07869154377,1335.9375,0.03123699558,1335.9375,0.5667072709,1335.9375,1.108712491,1335.9375,0.5210834613
1359.375,0.04064261483,1359.375,0.01664167197,1359.375,0.03347121873,1359.375,2.606081124,1359.375,1.737837088,1359.375,0.4346677996
1382.8125,0.06122656171,1382.8125,0.09563657842,1382.8125,0.03076919277,1382.8125,2.071483284,1382.8125,1.333142844,1382.8125,0.4563534103
1406.25,0.01902153281,1406.25,0.09714261548,1406.25,0.04757675836,1406.25,0.80258322,1406.25,0.9696331192,1406.25,0.07960408517
1429.6875,0.01933265724,1429.6875,0.01271300574,1429.6875,0.02165557841,1429.6875,3.045852541,1429.6875,0.7612818834,1429.6875,0.1305773689
1453.125,0.02414513268,1453.125,0.0406406737,1453.125,0.03219329394,1453.125,0.9837798814,1453.125,0.3780641231,1453.125,0.2003354937
1476.5625,0.03842432756,1476.5625,0.02483911604,1476.5625,0.05467038326,1476.5625,1.621192208,1476.5625,0.3045428968,1476.5625,0.1411140117
1500,0.03823650034,1500,0.02275357001,1500,0.02720002141,1500,2.883913229,1500,0.096387913,1500,0.1237982986
1523.4375,0.01284591772,1523.4375,0.06882911173,1523.4375,0.04228388413,1523.4375,0.47026231,1523.4375,0.3671612439,1523.4375,0.1501051554
1546.875,0.0068557315,1546.875,0.05171204206,1546.875,0.02829523063,1546.875,1.244401479,1546.875,0.4184761561,1546.875,0.04145053024
1570.3125,0.02922171031,1570.3125,0.009646475934,1570.3125,0.0572978447,1570.3125,1.417278479,1570.3125,0.3685162327,1570.3125,0.06800313962
1593.75,0.01945005779,1593.75,0.02252189553,1593.75,0.03833520049,1593.75,3.061064623,1593.75,0.2185017123,1593.75,0.06376823551
