Frequency (Hz),Absolute Amplitude (a.u.),Frequency (Hz),Absolute Amplitude (a.u.),Frequency (Hz),Absolute Amplitude (a.u.),Frequency (Hz),Absolute Amplitude (a.u.),Frequency (Hz),Absolute Amplitude (a.u.),Frequency (Hz),Absolute Amplitude (a.u.)
4289.0625,0.009169982663,4289.0625,0.003496190103,4289.0625,0.020750562,4289.0625,0.8580315495,4289.0625,0.1383677864,4289.0625,0.0175893069
4312.5,0.003332516152,4312.5,0.004513068856,4312.5,0.04849828727,4312.5,0.1700573183,4312.5,0.07750286596,4312.5,0.0362712498
4335.9375,0.009461819175,4335.9375,0.008238784309,4335.9375,0.02412043015,4335.9375,1.55363401,4335.9375,0.01372196445,4335.9375,0.06212020759
4359.375,0.01042263377,4359.375,0.001016279512,4359.375,0.0177697918,4359.375,1.417543804,4359.375,0.05556252633,4359.375,0.03662592183
4382.8125,0.01124679433,4382.8125,0.004364267754,4382.8125,0.02418315695,4382.8125,0.6172062313,4382.8125,0.1844356412,4382.8125,0.05680347282
4406.25,0.00618071883,4406.25,0.0007195998895,4406.25,0.01013773398,4406.25,0.899075937,4406.25,0.1673336362,4406.25,0.0277715232
4429.6875,0.002632515332,4429.6875,0.004215502182,4429.6875,0.03486597222,4429.6875,1.028744483,4429.6875,0.09277153466,4429.6875,0.02728273445
4453.125,0.008063532189,4453.125,0.002742993207,4453.125,0.02959940809,4453.125,0.7150410088,4453.125,0.01200888452,4453.125,0.02708763896
4476.5625,0.01037982288,4476.5625,0.005020885793,4476.5625,0.01349303559,4476.5625,1.089341569,4476.5625,0.06584345106,4476.5625,0.02624625575
4500,0.009520360559,4500,0.004643516354,4500,0.0245193362,4500,0.8093406914,4500,0.03635698111,4500,0.02399612143
4523.4375,0.007052134397,4523.4375,0.002735267173,4523.4375,0.003866050319,4523.4375,0.2012289878,4523.4375,0.07770004237,4523.4375,0.01745916019
4546.875,0.01098082013,4546.875,0.004546713251,4546.875,0.03172448164,4546.875,0.2119142134,4546.875,0.08076054374,4546.875,0.02573828599
4570.3125,0.009775669985,4570.3125,0.003815135742,4570.3125,0.03423297668,4570.3125,1.500619447,4570.3125,0.03755741394,4570.3125,0.008404112001
4593.75,0.009085604516,4593.75,0.002945041257,4593.75,0.02268854943,4593.75,0.3883537717,4593.75,0.01634672216,4593.75,0.002629292196
4617.1875,0.002525645929,4617.1875,0.002075241388,4617.1875,0.04387215425,4617.1875,0.6057073726,4617.1875,0.07606049432,4617.1875,0.01477229742
4640.625,0.006551898997,4640.625,0.00420418051,4640.625,0.006562114354,4640.625,0.9927495608,4640.625,0.04563587107,4640.625,0.009833728519
4664.0625,0.01409253885,4664.0625,0.00372605225,4664.0625,0.03790826577,4664.0625,1.494275972,4664.0625,0.07109040461,4664.0625,0.006476489132
4687.5,0.004239566811,4687.5,0.003179301936,4687.5,0.01846037494,4687.5,0.1551974961,4687.5,0.05906747547,4687.5,0.009162191892
4710.9375,0.007148937139,4710.9375,0.004095945615,4710.9375,0.009037802878,4710.9375,0.9869508598,4710.9375,0.01397715904,4710.9375,0.004270450557
4734.375,0.01120619194,4734.375,0.005688039483,4734.375,0.0197593547,4734.375,1.006868566,4734.375,0.02114983426,4734.375,0.007071025604
4757.8125,0.00392161006,4757.8125,0.000746786509,4757.8125,0.02226306179,4757.8125,0.6627407275,4757.8125,0.03002663584,4757.8125,0.01081910889
4781.25,0.009195597438,4781.25,0.002351987547,4781.25,0.01136130798,4781.25,0.7466154927,4781.25,0.03762292903,4781.25,0.004522673581
4804.6875,0.002686251651,4804.6875,0.003458517005,4804.6875,0.01556228789,4804.6875,1.630299168,4804.6875,0.0145923919,4804.6875,0.002129688839
4828.125,0.00829597097,4828.125,0.00534632032,4828.125,0.01371005942,4828.125,1.503212376,4828.125,0.02508392943,4828.125,0.001721644866
4851.5625,0.00412296732,4851.5625,0.0007072172339,4851.5625,0.02744381502,4851.5625,1.035671623,4851.5625,0.004210536198,4851.5625,0.006110880278
4875,0.008571402869,4875,0.002270638049,4875,0.003722823666,4875,0.5628976443,4875,0.02186146642,4875,0.001000115959
4898.4375,0.006685723971,4898.4375,0.001098305869,4898.4375,0.01480611805,4898.4375,1.082551991,4898.4375,0.02645586812,4898.4375,0.005175152062
4921.875,0.00679040391,4921.875,0.004012717356,4921.875,0.003750127994,4921.875,0.3724012592,4921.875,0.01586089262,4921.875,0.007871304798
4945.3125,0.01368911828,4945.3125,0.00236088139,4945.3125,0.00974821105,4945.3125,0.7954588316,4945.3125,0.02360512365,4945.3125,0.004307376965
4968.75,0.008768910504,4968.75,0.003280722705,4968.75,0.01381815091,4968.75,0.3857739419,4968.75,0.02003097383,4968.75,0.01092598539
4992.1875,0.00504322014,4992.1875,0.003353255966,4992.1875,0.007271976283,4992.1875,1.426352389,4992.1875,0.01085158589,4992.1875,0.006743608492
5015.625,0.003285615202,5015.625,0.003765442159,5015.625,0.011783057,5015.625,2.273645848,5015.625,0.02074885935,5015.625,0.009273412235
5039.0625,0.009488482925,5039.0625,0.003958293164,5039.0625,0.01272025845,5039.0625,0.6386661017,5039.0625,0.01692617776,5039.0625,0.004610603523
5062.5,0.003437076609,5062.5,0.001950291882,5062.5,0.009170926557,5062.5,1.986630644,5062.5,0.005519752112,5062.5,0.007912163755
5085.9375,0.006043602119,5085.9375,0.004073124642,5085.9375,0.0139745688,5085.9375,0.6701075621,5085.9375,0.02963173705,5085.9375,0.01110151038
5109.375,0.00971983356,5109.375,0.002083185103,5109.375,0.01195397331,5109.375,1.653938365,5109.375,0.02250649905,5109.375,0.01530605736
5132.8125,0.007352512761,5132.8125,0.002468982199,5132.8125,0.008928961665,5132.8125,1.468476286,5132.8125,0.03384788988,5132.8125,0.01510319459
5156.25,0.003430364526,5156.25,0.001537350472,5156.25,0.01453215187,5156.25,0.4000044244,5156.25,0.03719262436,5156.25,0.01095133156
5179.6875,0.00380529217,5179.6875,0.004970970409,5179.6875,0.009631622727,5179.6875,1.360429555,5179.6875,0.04406081966,5179.6875,0.007189399562
5203.125,0.005089006249,5203.125,0.005455843569,5203.125,0.01520425516,5203.125,0.3815010903,5203.125,0.06773851612,5203.125,0.01334128639
5226.5625,0.005278819555,5226.5625,0.0008222600766,5226.5625,0.01301224282,5226.5625,0.1402261948,5226.5625,0.02640431862,5226.5625,0.002586482371
5250,0.00735248539,5250,0.005611953614,5250,0.02450093958,5250,0.5842472123,5250,0.02769114452,5250,0.01007512836
5273.4375,0.005236682486,5273.4375,0.002668154045,5273.4375,0.0135366142,5273.4375,0.8674561798,5273.4375,0.02660573771,5273.4375,0.00330324433
5296.875,0.007011287243,5296.875,0.00224541392,5296.875,0.007585330774,5296.875,0.1488553703,5296.875,0.01934169348,5296.875,0.003687062219
5320.3125,0.008007743564,5320.3125,0.0005002798332,5320.3125,0.01740178577,5320.3125,0.9907510244,5320.3125,0.02088487654,5320.3125,0.005909240289
5343.75,0.009256296906,5343.75,0.004576457945,5343.75,0.01264320333,5343.75,1.956179512,5343.75,0.03367294777,5343.75,0.01645170279
5367.1875,0.007344340959,5367.1875,0.0005802011495,5367.1875,0.005994600173,5367.1875,1.336931394,5367.1875,0.02505905168,5367.1875,0.01658758109
5390.625,0.01174760549,5390.625,0.004423789854,5390.625,0.01696569094,5390.625,0.8476983498,5390.625,0.01265490385,5390.625,0.02410270093
5414.0625,0.004934363897,5414.0625,0.002758007098,5414.0625,0.009414447819,5414.0625,0.6138900276,5414.0625,0.02130200908,5414.0625,0.01519272876
5437.5,0.01333671112,5437.5,0.004406199689,5437.5,0.02028563937,5437.5,0.1995286289,5437.5,0.0278846427,5437.5,0.005938067903
5460.9375,0.004039350042,5460.9375,0.00314866244,5460.9375,0.01620257061,5460.9375,0.7133207406,5460.9375,0.008959271354,5460.9375,0.01000220861
5484.375,0.008676336314,5484.375,0.004733886111,5484.375,0.01031557502,5484.375,0.3542879632,5484.375,0.008725127724,5484.375,0.008854550782
5507.8125,0.009766645344,5507.8125,0.003721303298,5507.8125,0.0189474421,5507.8125,0.6054119723,5507.8125,0.02346136076,5507.8125,0.007859956849
5531.25,0.008462341319,5531.25,0.003883089541,5531.25,0.01436387535,5531.25,0.8824329309,5531.25,0.0335146321,5531.25,0.01192029088
5554.6875,0.007429380544,5554.6875,0.003234978796,5554.6875,0.01733763517,5554.6875,0.9513688689,5554.6875,0.02640762662,5554.6875,0.01494821259
5578.125,0.004895120937,5578.125,0.002297720603,5578.125,0.0183278796,5578.125,0.4190561374,5578.125,0.04425893101,5578.125,0.01428300687
5601.5625,0.007989240406,5601.5625,0.001780709323,5601.5625,0.009431508917,5601.5625,0.5147643171,5601.5625,0.01677949232,5601.5625,0.01268617621
5625,0.009996561276,5625,0.001320026078,5625,0.02010843083,5625,0.7114834108,5625,0.0351313974,5625,0.012567337
5648.4375,0.002300998559,5648.4375,0.00128255633,5648.4375,0.008255279377,5648.4375,0.5689533014,5648.4375,0.06116467155,5648.4375,0.006813656239
5671.875,0.01240638916,5671.875,0.002792883099,5671.875,0.02174677513,5671.875,0.6651586063,5671.875,0.0463060367,5671.875,0.002217773123
5695.3125,0.0114527705,5695.3125,0.004345210695,5695.3125,0.0123409682,5695.3125,0.871720528,5695.3125,0.02865214609,5695.3125,0.00342989546
5718.75,0.007383199734,5718.75,0.002247843143,5718.75,0.01865539457,5718.75,0.3202757343,5718.75,0.04982585042,5718.75,0.005533671303
5742.1875,0.007186061572,5742.1875,0.0005316071652,5742.1875,0.009370384535,5742.1875,0.2450156757,5742.1875,0.03008690152,5742.1875,0.01181831426
5765.625,0.00305833946,5765.625,0.00283395664,5765.625,0.004782581345,5765.625,0.7587846377,5765.625,0.06133373894,5765.625,0.01749634397
5789.0625,0.007222444416,5789.0625,0.004862130513,5789.0625,0.008085641071,5789.0625,0.7884408206,5789.0625,0.05416849709,5789.0625,0.006782584156
5812.5,0.009288197225,5812.5,0.0009523815117,5812.5,0.008672753661,5812.5,0.8134462709,5812.5,0.0548774476,5812.5,0.005258948722
5835.9375,0.003875228635,5835.9375,0.0038951262,5835.9375,0.01184237351,5835.9375,1.775973452,5835.9375,0.02311781422,5835.9375,0.009303253665
5859.375,0.009497243282,5859.375,0.002516150602,5859.375,0.02276956889,5859.375,0.4735881013,5859.375,0.009423235067,5859.375,0.01033419015
5882.8125,0.005434457569,5882.8125,0.002256445083,5882.8125,0.01064420467,5882.8125,0.9535731449,5882.8125,0.02736307465,5882.8125,0.002314101601
5906.25,0.006729198198,5906.25,0.003503284078,5906.25,0.0158155058,5906.25,0.09282943418,5906.25,0.02699873801,5906.25,0.01122164973
5929.6875,0.006335787477,5929.6875,0.002905728987,5929.6875,0.009755776978,5929.6875,0.90376225,5929.6875,0.009267898917,5929.6875,0.008526880411
5953.125,0.006632407351,5953.125,0.002415170703,5953.125,0.008328272632,5953.125,1.117054913,5953.125,0.0131511064,5953.125,0.01187576763
5976.5625,0.004567309771,5976.5625,0.003914643477,5976.5625,0.01817795532,5976.5625,1.338080606,5976.5625,0.0260107792,5976.5625,0.009707284179
6000,0.005764093563,6000,0.004261389974,6000,0.01276891084,6000,1.219102388,6000,0.01997256168,6000,0.006311204461
6023.4375,0.004389855534,6023.4375,0.003289795715,6023.4375,0.01586110659,6023.4375,1.391283335,6023.4375,0.02367241173,6023.4375,0.009632223173
6046.875,0.009451647127,6046.875,0.001917829373,6046.875,0.01692304199,6046.875,0.312429537,6046.875,0.05521888182,6046.875,0.009691243096
6070.3125,0.002411328234,6070.3125,0.004581150483,6070.3125,0.01154854051,6070.3125,0.1065537586,6070.3125,0.0642411707,6070.3125,0.0113358154
6093.75,0.005205965387,6093.75,0.00156188563,6093.75,0.01133415341,6093.75,0.9642941375,6093.75,0.05319102702,6093.75,0.01539769216
6117.1875,0.001176096824,6117.1875,0.003843163315,6117.1875,0.001356972181,6117.1875,0.6438366127,6117.1875,0.01404454525,6117.1875,0.01525079085
6140.625,0.01000654084,6140.625,0.003271417518,6140.625,0.01473074523,6140.625,1.002859737,6140.625,0.02091957455,6140.625,0.01224250049
6164.0625,0.01129211302,6164.0625,0.008262361674,6164.0625,0.01339842543,6164.0625,0.2804581425,6164.0625,0.01850499363,6164.0625,0.03077397871
6187.5,0.001438507889,6187.5,0.00567789882,6187.5,0.01179503068,6187.5,1.297545745,6187.5,0.007069683461,6187.5,0.03087679557
6210.9375,0.0009156427155,6210.9375,0.0008543289018,6210.9375,0.01621985167,6210.9375,0.7525129833,6210.9375,0.02724207615,6210.9375,0.008486006215
6234.375,0.006875200592,6234.375,0.004140544997,6234.375,0.01400228917,6234.375,1.117139985,6234.375,0.02607580844,6234.375,0.02814179307
6257.8125,0.009581964548,6257.8125,0.008236423633,6257.8125,0.01410076771,6257.8125,0.7879361779,6257.8125,0.03443380139,6257.8125,0.02547686217
6281.25,0.0008366990875,6281.25,0.003027120076,6281.25,0.007407540804,6281.25,0.5277379742,6281.25,0.02131156915,6281.25,0.04259741256
6304.6875,0.006867667664,6304.6875,0.001820676771,6304.6875,0.01520640148,6304.6875,1.209740589,6304.6875,0.01469981665,6304.6875,0.01683587408
6328.125,0.01441715301,6328.125,0.004990074349,6328.125,0.0230270935,6328.125,0.891846975,6328.125,0.01877775402,6328.125,0.03595132758
6351.5625,0.01565142504,6351.5625,0.001056957714,6351.5625,0.01228341482,6351.5625,0.7678758004,6351.5625,0.06486479054,6351.5625,0.02996005747
6375,0.007569179484,6375,0.003209196012,6375,0.008993414585,6375,0.3829885874,6375,0.1081139973,6375,0.03349357407
6398.4375,0.01183719781,6398.4375,0.002841112337,6398.4375,0.01307811928,6398.4375,0.7825225076,6398.4375,0.07442235921,6398.4375,0.03354051938
6421.875,0.01309298188,6421.875,0.005198082697,6421.875,0.001587211771,6421.875,0.8775445863,6421.875,0.07575360347,6421.875,0.01273706731
6445.3125,0.008390487279,6445.3125,0.004037820555,6445.3125,0.0292523272,6445.3125,0.9590254218,6445.3125,0.01515608533,6445.3125,0.01142570074
6468.75,0.005464769079,6468.75,0.004733147813,6468.75,0.01217754234,6468.75,0.7675970994,6468.75,0.04715472983,6468.75,0.01604794401
6492.1875,0.01416517241,6492.1875,0.004036662869,6492.1875,0.004596984722,6492.1875,0.3464221369,6492.1875,0.03011250805,6492.1875,0.02131781657
6515.625,0.01049317153,6515.625,0.00308408185,6515.625,0.005867519399,6515.625,0.6181077771,6515.625,0.008598140203,6515.625,0.006507658644
6539.0625,0.01176794412,6539.0625,0.006208462877,6539.0625,0.009096037783,6539.0625,1.049713761,6539.0625,0.08912300796,6539.0625,0.03546924417
6562.5,0.003588757902,6562.5,0.006152798078,6562.5,0.02089475475,6562.5,0.8656831614,6562.5,0.05902125916,6562.5,0.02436028464
6585.9375,0.00599113718,6585.9375,0.003571017962,6585.9375,0.01404854517,6585.9375,1.216907538,6585.9375,0.03376686019,6585.9375,0.03245428427
6609.375,0.003365736588,6609.375,0.003698527782,6609.375,0.02416127985,6609.375,0.4461108982,6609.375,0.01657197728,6609.375,0.01100946918
6632.8125,0.00120417484,6632.8125,0.006168689567,6632.8125,0.01658733516,6632.8125,0.7000307938,6632.8125,0.0496323781,6632.8125,0.02203403922
6656.25,0.001262813385,6656.25,0.0120908101,6656.25,0.00604379115,6656.25,0.9170622553,6656.25,0.0929797941,6656.25,0.03467681849
6679.6875,0.006256212246,6679.6875,0.005040507128,6679.6875,0.005233334441,6679.6875,0.4241807595,6679.6875,0.09289036027,6679.6875,0.004641348349
6703.125,0.004678693998,6703.125,0.006340995948,6703.125,0.006679164925,6703.125,0.848441736,6703.125,0.04827556511,6703.125,0.0057919116
6726.5625,0.01011163081,6726.5625,0.005241918743,6726.5625,0.006499899113,6726.5625,0.399409913,6726.5625,0.02567241759,6726.5625,0.02369793189
6750,0.006755414417,6750,0.004645938624,6750,0.0118224896,6750,1.019407045,6750,0.02509457902,6750,0.02978763458
6773.4375,0.009219086809,6773.4375,0.00422441153,6773.4375,0.007420227223,6773.4375,0.8628994169,6773.4375,0.02397251168,6773.4375,0.02499874934
6796.875,0.01150675388,6796.875,0.007181839191,6796.875,0.01112048808,6796.875,0.3851989439,6796.875,0.06677302139,6796.875,0.01066790101
6820.3125,0.004560919675,6820.3125,0.004830845029,6820.3125,0.01057028088,6820.3125,0.3073477654,6820.3125,0.02177377523,6820.3125,0.009220589282
6843.75,0.01266122581,6843.75,0.005527690353,6843.75,0.02285830914,6843.75,0.7489450842,6843.75,0.03446367054,6843.75,0.01144448452
6867.1875,0.01040589044,6867.1875,0.006375934384,6867.1875,0.01252861914,6867.1875,0.5989638147,6867.1875,0.02804555267,6867.1875,0.02579919285
6890.625,0.008916626257,6890.625,0.001840574772,6890.625,0.008910896742,6890.625,1.562036875,6890.625,0.01140591756,6890.625,0.00963211588
6914.0625,0.003161448633,6914.0625,0.00304296853,6914.0625,0.008508098478,6914.0625,0.6543792523,6914.0625,0.0936596081,6914.0625,0.009075100321
6937.5,0.002473455061,6937.5,0.008843064402,6937.5,0.02606503274,6937.5,0.09707013618,6937.5,0.1042075365,6937.5,0.01729824041
6960.9375,0.002812910441,6960.9375,0.005323635708,6960.9375,0.01099609923,6960.9375,1.967396242,6960.9375,0.05432286327,6960.9375,0.0205146858
6984.375,0.00283040973,6984.375,0.002966566281,6984.375,0.01495022216,6984.375,0.2757259925,6984.375,0.05278805072,6984.375,0.02688577628
7007.8125,0.004363339606,7007.8125,0.005715278047,7007.8125,0.009056404181,7007.8125,0.5918315043,7007.8125,0.0503969042,7007.8125,0.01772016844
7031.25,0.005980406977,7031.25,0.005170688781,7031.25,0.01107074639,7031.25,1.170190863,7031.25,0.06207698163,7031.25,0.03554412271
7054.6875,0.01303913285,7054.6875,0.003324935631,7054.6875,0.030460988,7054.6875,0.3160985276,7054.6875,0.04706224906,7054.6875,0.01645879189
7078.125,0.001443151414,7078.125,0.002542635457,7078.125,0.005354367479,7078.125,0.6734087331,7078.125,0.01774720317,7078.125,0.006367909658
7101.5625,0.004216574201,7101.5625,0.004858170622,7101.5625,0.01151430333,7101.5625,1.123356203,7101.5625,0.03384572375,7101.5625,0.03422043493
7125,0.0071669321,7125,0.001811066429,7125,0.01276193105,7125,0.7015434051,7125,0.02270851682,7125,0.005676824045
7148.4375,0.0113031466,7148.4375,0.003532963744,7148.4375,0.02001896679,7148.4375,0.4024918836,7148.4375,0.03253861692,7148.4375,0.01974628254
7171.875,0.007685716443,7171.875,0.0005505930866,7171.875,0.004075814571,7171.875,0.6438524161,7171.875,0.03497756274,7171.875,0.01208160319
7195.3125,0.006661095925,7195.3125,0.003996655842,7195.3125,0.009448362398,7195.3125,1.005822631,7195.3125,0.005469016365,7195.3125,0.03332547568
7218.75,0.00462594857,7218.75,0.003450890866,7218.75,0.02516735004,7218.75,0.1454657886,7218.75,0.01461241957,7218.75,0.005948096384
7242.1875,0.0004936881966,7242.1875,0.006815267131,7242.1875,0.01312526227,7242.1875,0.4546774672,7242.1875,0.02726353021,7242.1875,0.01013384492
7265.625,0.005126049634,7265.625,0.0002556272801,7265.625,0.01358361221,7265.625,0.8330266944,7265.625,0.0724478531,7265.625,0.01791943951
7289.0625,0.007184066521,7289.0625,0.0003536406318,7289.0625,0.009355045496,7289.0625,0.4218367733,7289.0625,0.06912332826,7289.0625,0.02672786173
7312.5,0.01625035881,7312.5,0.0009389575077,7312.5,0.01382451039,7312.5,1.194790888,7312.5,0.07249691433,7312.5,0.03337564439
7335.9375,0.006483254046,7335.9375,0.005427078976,7335.9375,0.01638621589,7335.9375,0.1882547038,7335.9375,0.0489615402,7335.9375,0.009598339175
7359.375,0.002681864195,7359.375,0.004183945412,7359.375,0.006338799285,7359.375,1.027850668,7359.375,0.07614250174,7359.375,0.0139188465
7382.8125,0.003311700997,7382.8125,0.002253312818,7382.8125,0.01309283093,7382.8125,0.828221929,7382.8125,0.064593312,7382.8125,0.009833425329
7406.25,0.006397953353,7406.25,0.001362212938,7406.25,0.005677141424,7406.25,0.2713142988,7406.25,0.07663308082,7406.25,0.01000926404
7429.6875,0.007828597243,7429.6875,0.001301940295,7429.6875,0.00696924403,7429.6875,0.2341065714,7429.6875,0.08573635739,7429.6875,0.01098825434
7453.125,0.005034437573,7453.125,0.003625757124,7453.125,0.02822656496,7453.125,0.5869080118,7453.125,0.05038799556,7453.125,0.02421864207
7476.5625,0.008970039447,7476.5625,0.003341903473,7476.5625,0.0128813388,7476.5625,0.5966755994,7476.5625,0.07409577859,7476.5625,0.01239434529
7500,0.008700011053,7500,0.003236074778,7500,0.02187648462,7500,0.901434391,7500,0.05444807834,7500,0.01197816399
7523.4375,0.006861915384,7523.4375,0.001062239701,7523.4375,0.02762276143,7523.4375,0.4671724315,7523.4375,0.02034091233,7523.4375,0.01891803904
7546.875,0.01024176349,7546.875,0.003996319228,7546.875,0.008613378258,7546.875,0.8194593194,7546.875,0.01032823524,7546.875,0.01796200475
7570.3125,0.008595070527,7570.3125,0.001873910387,7570.3125,0.009606787533,7570.3125,0.637368989,7570.3125,0.03548358386,7570.3125,0.02239232947
7593.75,0.003481791773,7593.75,0.002132628008,7593.75,0.02558787861,7593.75,0.3174117881,7593.75,0.108892593,7593.75,0.01430497794
7617.1875,0.003513679275,7617.1875,0.002685114638,7617.1875,0.006387071604,7617.1875,0.4817367511,7617.1875,0.06171368438,7617.1875,0.0009479953
7640.625,0.009468671845,7640.625,0.003205053206,7640.625,0.01260201674,7640.625,0.3594614034,7640.625,0.06074873241,7640.625,0.02243205928
7664.0625,0.001516971806,7664.0625,0.003033195673,7664.0625,0.01322277001,7664.0625,1.262617438,7664.0625,0.02502794884,7664.0625,0.01252732773
7687.5,0.0100642423,7687.5,0.002759543431,7687.5,0.01455608462,7687.5,1.042311889,7687.5,0.05581050337,7687.5,0.01509273027
7710.9375,0.01199681096,7710.9375,0.002576744097,7710.9375,0.003015909054,7710.9375,0.3417592626,7710.9375,0.09307927702,7710.9375,0.01481526715
7734.375,0.005963577006,7734.375,0.002371955945,7734.375,0.01494508062,7734.375,0.2425631348,7734.375,0.04372613681,7734.375,0.01220154753
7757.8125,0.005029132292,7757.8125,0.003366887622,7757.8125,0.01481838189,7757.8125,0.7365430754,7757.8125,0.0357430449,7757.8125,0.009314312017
7781.25,0.00714924543,7781.25,0.00132541762,7781.25,0.01030801028,7781.25,1.975685717,7781.25,0.0879842716,7781.25,0.02491026871
7804.6875,0.004232791278,7804.6875,0.001328477183,7804.6875,0.02488120487,7804.6875,0.1564195756,7804.6875,0.0583974094,7804.6875,0.01587282796
7828.125,0.00874519702,7828.125,0.00273952947,7828.125,0.00613389453,7828.125,0.6243022818,7828.125,0.06820781595,7828.125,0.01896164382
7851.5625,0.008264545608,7851.5625,0.002697076587,7851.5625,0.00875309626,7851.5625,0.8386951671,7851.5625,0.05587186761,7851.5625,0.03183045636
7875,0.003066538757,7875,0.006334713286,7875,0.02401512661,7875,0.3936900375,7875,0.05291455492,7875,0.01014067721
7898.4375,0.008314840489,7898.4375,0.003078033593,7898.4375,0.01456874263,7898.4375,0.4590946727,7898.4375,0.08449319005,7898.4375,0.01503070614
7921.875,0.00468928918,7921.875,0.0006049009948,7921.875,0.02967720097,7921.875,0.9787416401,7921.875,0.03136483741,7921.875,0.01205425345
7945.3125,0.007900156581,7945.3125,0.00283962737,7945.3125,0.01040135529,7945.3125,1.006093612,7945.3125,0.06060159917,7945.3125,0.008151267127
7968.75,0.007954077112,7968.75,0.00150584113,7968.75,0.003721817184,7968.75,0.7243051399,7968.75,0.04137997855,7968.75,0.008169587697
7992.1875,0.003861222018,7992.1875,0.003777223221,7992.1875,0.01279491526,7992.1875,0.6884773498,7992.1875,0.04748510423,7992.1875,0.02554042407
8015.625,0.005148518186,8015.625,0.005031296033,8015.625,0.01414795805,8015.625,1.127956941,8015.625,0.05011874033,8015.625,0.01581419605
8039.0625,0.006813456638,8039.0625,0.004762390165,8039.0625,0.02343131446,8039.0625,1.134784223,8039.0625,0.01458390165,8039.0625,0.01253128529
8062.5,0.01173240305,8062.5,0.00316141643,8062.5,0.01117450561,8062.5,0.7736612486,8062.5,0.05837652097,8062.5,0.01469873091
8085.9375,0.003323891183,8085.9375,0.004710012843,8085.9375,0.02563386178,8085.9375,0.4950858564,8085.9375,0.08723056914,8085.9375,0.006859017121
8109.375,0.005352861957,8109.375,0.003809281784,8109.375,0.01881063958,8109.375,1.099455342,8109.375,0.06297843722,8109.375,0.01652736068
8132.8125,0.01029417228,8132.8125,0.00390205028,8132.8125,0.0009168875031,8132.8125,0.7352825115,8132.8125,0.07498812103,8132.8125,0.01447256313
8156.25,0.007367448432,8156.25,0.007612422921,8156.25,0.006861803905,8156.25,0.5861488664,8156.25,0.08495342854,8156.25,0.005241065234
8179.6875,0.008403584781,8179.6875,0.0006349068041,8179.6875,0.001571909426,8179.6875,0.240816483,8179.6875,0.02352554176,8179.6875,0.007803707934
8203.125,0.003456477921,8203.125,0.003289749256,8203.125,0.02490713252,8203.125,0.4793638731,8203.125,0.06348375416,8203.125,0.003040542586
8226.5625,0.006259869518,8226.5625,0.002581629388,8226.5625,0.01279636229,8226.5625,1.131176067,8226.5625,0.0916697506,8226.5625,0.03242540504
8250,0.006495456404,8250,0.002022837204,8250,0.01106378836,8250,0.8521187593,8250,0.1001676485,8250,0.01465149352
8273.4375,0.005008750999,8273.4375,0.002321131313,8273.4375,0.0305150908,8273.4375,1.688223878,8273.4375,0.04388584346,8273.4375,0.01919966189
8296.875,0.004220297174,8296.875,0.002547067169,8296.875,0.02914023776,8296.875,0.6130429665,8296.875,0.03509713283,8296.875,0.009035572537
8320.3125,0.007340183109,8320.3125,0.000720259467,8320.3125,0.006620993185,8320.3125,0.3477080144,8320.3125,0.04143587124,8320.3125,0.02357754829
8343.75,0.006913741255,8343.75,0.002894898695,8343.75,0.01075301656,8343.75,1.120450588,8343.75,0.02422651809,8343.75,0.02088013582
8367.1875,0.007905226263,8367.1875,0.006522314259,8367.1875,0.002620134088,8367.1875,0.4867747466,8367.1875,0.06457660545,8367.1875,0.02352648716
8390.625,0.002073471709,8390.625,0.001001485751,8390.625,0.02437437435,8390.625,1.539802253,8390.625,0.02972933287,8390.625,0.002918861025
8414.0625,0.01216238981,8414.0625,0.00544318309,8414.0625,0.02780750148,8414.0625,0.477815013,8414.0625,0.01334701831,8414.0625,0.01622554015
8437.5,0.006308589614,8437.5,0.001078070056,8437.5,0.008052270546,8437.5,0.7639506733,8437.5,0.03897488337,8437.5,0.02060196391
8460.9375,0.006567663805,8460.9375,0.006268984342,8460.9375,0.02505134548,8460.9375,0.2436283824,8460.9375,0.05702155417,8460.9375,0.01390409025
8484.375,0.007897004139,8484.375,0.00564992679,8484.375,0.001592036139,8484.375,1.687864711,8484.375,0.07407525709,8484.375,0.003768851819
8507.8125,0.004643135842,8507.8125,0.002978244604,8507.8125,0.005453628291,8507.8125,0.6758036906,8507.8125,0.0582663736,8507.8125,0.02040808795
8531.25,0.01148092977,8531.25,0.003192910555,8531.25,0.01353333374,8531.25,0.2842796413,8531.25,0.06341917423,8531.25,0.01063837405
8554.6875,0.004848766595,8554.6875,0.002520090671,8554.6875,0.003932247186,8554.6875,0.4700599879,8554.6875,0.09917867117,8554.6875,0.01089610678
8578.125,0.005389504489,8578.125,0.003863682392,8578.125,0.02042127871,8578.125,0.3475221554,8578.125,0.05607070132,8578.125,0.009810091264
8601.5625,0.004989102089,8601.5625,0.003804898079,8601.5625,0.02567214085,8601.5625,0.3063096082,8601.5625,0.01517727553,8601.5625,0.03422339662
8625,0.005907324128,8625,0.004163042495,8625,0.0171501716,8625,0.6121830691,8625,0.01779435243,8625,0.02885221153
8648.4375,0.004005761303,8648.4375,0.004197822699,8648.4375,0.01014762045,8648.4375,1.270700793,8648.4375,0.01162590204,8648.4375,0.01670922821
